who2who_1,point_1,who2who_2,point_2,who2who_3,point_3,who2who_4,point_4,who2who_5,point_5,who2who_6,point_6,who2who_7,point_7,who2who_8,point_8,who2who_9,point_9,who2who_10,point_10,who2who_11,point_11
 Grp1-1 to Grp2-1,151.3439791, Grp1-2 to Grp2-1,112.0580207, Grp1-3 to Grp2-1,93.93215637, Grp1-4 to Grp2-1,80.4005597, Grp1-5 to Grp2-1,86.58666179, Grp1-6 to Grp2-1,83.95981181, Grp1-7 to Grp2-1,56.50884886, Grp1-8 to Grp2-1,50.62114183, Grp1-9 to Grp2-1,56.16493568, Grp1-10 to Grp2-1,34.00367627, Grp1-11 to Grp2-1,66.54509749
 Grp1-1 to Grp2-2,147.122398, Grp1-2 to Grp2-2,117.9533806, Grp1-3 to Grp2-2,92.35393874, Grp1-4 to Grp2-2,65.743821, Grp1-5 to Grp2-2,61.01843984, Grp1-6 to Grp2-2,54.10406639, Grp1-7 to Grp2-2,30.90711892, Grp1-8 to Grp2-2,42.57346591, Grp1-9 to Grp2-2,64.93458247, Grp1-10 to Grp2-2,52.40467536, Grp1-11 to Grp2-2,90.06802984
 Grp1-1 to Grp2-3,137.8740367, Grp1-2 to Grp2-3,119.0094534, Grp1-3 to Grp2-3,88.52683209, Grp1-4 to Grp2-3,52.15361924, Grp1-5 to Grp2-3,35.90264614, Grp1-6 to Grp2-3,33.61547263, Grp1-7 to Grp2-3,31.89043744, Grp1-8 to Grp2-3,42.07433897, Grp1-9 to Grp2-3,73.37063445, Grp1-10 to Grp2-3,69.63476143, Grp1-11 to Grp2-3,107.7613103
 Grp1-1 to Grp2-4,195.471865, Grp1-2 to Grp2-4,167.4970149, Grp1-3 to Grp2-4,141.8238344, Grp1-4 to Grp2-4,111.1980216, Grp1-5 to Grp2-4,93.64827815, Grp1-6 to Grp2-4,59.53990259, Grp1-7 to Grp2-4,29.15475947, Grp1-8 to Grp2-4,91.94155752, Grp1-9 to Grp2-4,113.3854047, Grp1-10 to Grp2-4,96.18731725, Grp1-11 to Grp2-4,130.1018832
 Grp1-1 to Grp2-5,205.0573091, Grp1-2 to Grp2-5,184.3542785, Grp1-3 to Grp2-5,155.435678, Grp1-4 to Grp2-5,119.1899744, Grp1-5 to Grp2-5,93.17859196, Grp1-6 to Grp2-5,50.21205035, Grp1-7 to Grp2-5,38.39596333, Grp1-8 to Grp2-5,106.7333125, Grp1-9 to Grp2-5,133.2403843, Grp1-10 to Grp2-5,119.7633082, Grp1-11 to Grp2-5,155.8212116
 Grp1-1 to Grp2-6,195.2773668, Grp1-2 to Grp2-6,186.5670121, Grp1-3 to Grp2-6,154.0811475, Grp1-4 to Grp2-6,112.6410227, Grp1-5 to Grp2-6,78.33900689, Grp1-6 to Grp2-6,37.12142239, Grp1-7 to Grp2-6,57.48912941, Grp1-8 to Grp2-6,111.544834, Grp1-9 to Grp2-6,143.2174919, Grp1-10 to Grp2-6,136.9707998, Grp1-11 to Grp2-6,175.1356617
 Grp1-1 to Grp2-7,234.7621136, Grp1-2 to Grp2-7,205.4294283, Grp1-3 to Grp2-7,180.7830191, Grp1-4 to Grp2-7,150.387832, Grp1-5 to Grp2-7,130.7000383, Grp1-6 to Grp2-7,91.46857384, Grp1-7 to Grp2-7,67.19002902, Grp1-8 to Grp2-7,130.9398717, Grp1-9 to Grp2-7,150.4102723, Grp1-10 to Grp2-7,130.8682544, Grp1-11 to Grp2-7,161.3753389
 Grp1-1 to Grp2-8,245.1025296, Grp1-2 to Grp2-8,222.9108566, Grp1-3 to Grp2-8,194.8794499, Grp1-4 to Grp2-8,159.2388144, Grp1-5 to Grp2-8,132.6122166, Grp1-6 to Grp2-8,88.52683209, Grp1-7 to Grp2-8,77.1621669, Grp1-8 to Grp2-8,145.6476914, Grp1-9 to Grp2-8,170.2358658, Grp1-10 to Grp2-8,154.1168388, Grp1-11 to Grp2-8,187.9162047
 Grp1-1 to Grp2-9,266.1226221, Grp1-2 to Grp2-9,246.6520829, Grp1-3 to Grp2-9,217.6660286, Grp1-4 to Grp2-9,180.4231138, Grp1-5 to Grp2-9,151.2696268, Grp1-6 to Grp2-9,106.5011737, Grp1-7 to Grp2-9,100.6106356, Grp1-8 to Grp2-9,169.0599006, Grp1-9 to Grp2-9,194.8621307, Grp1-10 to Grp2-9,179.5062673, Grp1-11 to Grp2-9,213.6773268
 Grp1-1 to Grp2-10,247.9516082, Grp1-2 to Grp2-10,233.4523506, Grp1-3 to Grp2-10,202.7221004, Grp1-4 to Grp2-10,163.2643562, Grp1-5 to Grp2-10,131.385882, Grp1-6 to Grp2-10,87.12204084, Grp1-7 to Grp2-10,89.70089186, Grp1-8 to Grp2-10,156.0016026, Grp1-9 to Grp2-10,184.5331948, Grp1-10 to Grp2-10,172.3230977, Grp1-11 to Grp2-10,208.5863131
